BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
71573	O43491	EPB41L2	Band 4.1-like protein 2	2037	B4DHI8; I6L9B1; Q5T4F0; Q68DV2; Q59FD8; O60642; B4DJ76; B4DHI8,O4; E9PPD9; KEGG::2037
71575	Q9HCS5	EPB41L4A	Band 4.1-like protein 4A	64097	Q8N8X1; Q8NEH8; A4FUI6; KEGG::64097
71577	Q9H329	DKFZp761N1814; EPB41L4B	Band 4.1-like protein 4B	54566	Q59GC2; Q5T4G5; Q5T4G6; Q9NX84; Q9NSG9; Q9P2V3; Q9H328; KEGG::54566
233170	P0CF75	EBLN1	Endogenous Bornavirus-like nucleoprotein 1	-	-
233171	Q6P2I7	EBLN2	Endogenous Bornavirus-like nucleoprotein 2	55096	Q8WWH3; Q9NW89; KEGG::55096
65293	Q9UMR2	DDX19B	ATP-dependent RNA helicase DDX19B	11269	Q6IAE0; Q96KE7; B3KNE9; Q6FIB7; E7EMK4; B4DL69; B4DXS6; Q9UMR2,Q9; Q9H0U0; KEGG::11269
550930	Q8NF91	SYNE1	Nesprin-1	23345	Q9UJ07; Q9UJ06; Q96N17; Q9NS36; Q8WWW6; Q8WWW7; Q5JV22; Q9C0A7; Q9ULF8; Q9H526; Q8WXF6; E7EQI5; Q8N9P7; Q9H525; Q9NU50; Q8TCP1; O94890; Q5JV19; KEGG::23345
550932	Q6ZMZ3	SYNE3	Nesprin-3	161176	A6H8H3; Q86SX5; Q8N7G8; KEGG::161176
550934	Q8N205	SYNE4	Nesprin-4	163183	A8MYE3; Q7Z7L3; A8MRS0; KEGG::163183
413101	Q9BZL4	PPP1R12C	Protein phosphatase 1 regulatory subunit 12C	54776	Q96HW1; Q59FK8; Q6ZPD1; Q9NT00; Q9H5H5; Q7L8F7; KEGG::54776
339764	P48740	MASP1	Mannan-binding lectin serine protease 1; Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain	5648	O95570; Q68D21; Q8IUV8; Q9UF09; Q96RS4; B4E2L7; A8K6M1; A8K542; KEGG::5648
173345	Q9H694	BICC1	Protein bicaudal C homolog 1	80114	KEGG::80114
530502	Q13796	SHROOM2	Protein Shroom2	357	B9EIQ7; KEGG::357
296888	Q92598	HSPH1	Heat shock protein 105 kDa	10808	Q9UPC4; Q5TBM7; Q5TBM6; Q5TBM8; O95739; KEGG::10808
339769	Q9Y2H9	MAST1	Microtubule-associated serine/threonine-protein kinase 1	22983	O00114; Q8N6X0; KEGG::22983
195765	Q9ULM6	CNOT6	CCR4-NOT transcription complex subunit 6	57472	A7MD46; D3DWR0; KEGG::57472
437909	Q96C41; Q99638	RAD9A	Cell cycle checkpoint control protein RAD9A	5883	Q6FI29; B2RCZ8; KEGG::5883
440219	Q5T8P6	RBM26	RNA-binding protein 26	64062	Q5U5P5; Q96SZ3; Q8N3H5; Q5CZH8; Q2NKQ2; Q9H7F9; Q2NKM2; Q9P1G7; Q5T8P8; B4DZE0; Q96K92; Q5T8P5; Q9H2F8; Q5W0G7; KEGG::64062
95552	Q9NQG6	DKFZp434E0130; SMCR7L	Mitochondrial dynamic protein MID51	54471	Q9NQG6,Q7; Q9BUI3; Q7L890; KEGG::54471
497768	P46783	RPS10	40S ribosomal protein S10	6204	B2R4E3; Q5TZC0; KEGG::6204
88299	Q96T54	KCNK17	Potassium channel subfamily K member 17	89822	Q9H592; E9PB46; Q5TCF4; Q8TAW4; Q9BXD1; KEGG::89822
88292	Q9NYG8	KCNK4	Potassium channel subfamily K member 4	50801	Q2YDA1; Q96T94; B5TJL1; KEGG::50801
88294	Q9Y257	KCNK6	Potassium channel subfamily K member 6	9424	Q9HB47; B2RDS2; KEGG::9424
88297	Q9HB14	KCNK13	Potassium channel subfamily K member 13	56659	Q96E79; B5TJL8; KEGG::56659
457245	P61313	RPL15	60S ribosomal protein L15	6138	Q6IPX6; P41051; Q9H2E5; P39030; Q5U0C0; P61313,Q5; Q642I1; Q8WYP2; Q96C44; KEGG::6138
73976	Q9NQT5	EXOSC3; PNAS-3	Exosome complex component RRP40	51010	A8K0K6; Q9Y3A8; Q5QP85; Q9NYS3; Q9NQT5,A8; KEGG::51010
401374	O00764	PDXK	Pyridoxal kinase	8566	Q9BS02; Q7Z2Y0; KEGG::8566
63791	P49447	CYB561	Cytochrome b561	1534	Q5BJG9; Q9BU05; B2RE96; Q9BWR9; D3DU11; B3KTA1; KEGG::1534
2738699	Q9NXD3	-	-	-	-
206058	Q9BQM9	C20orf144	Uncharacterized protein C20orf144	128864	Q1AHR2; KEGG::128864
103939	Q96N58	ZNF578	Zinc finger protein 578	147660	G3V4F6; Q3MI94; Q1LZM9; I3L1Y6; KEGG::147660
582591	Q9H9J4	USP42	Ubiquitin carboxyl-terminal hydrolase 42	84132	A2RUE3; B5MDA5; Q3C166; Q0VIN8; Q6P9B4; KEGG::84132
590606	P38606	ATP6V1A	V-type proton ATPase catalytic subunit A	523	B2RBR8; Q53YD9; Q9UHY3; Q96DY6; D3DN75; KEGG::523
196216	A8TX70	COL6A5	Collagen alpha-5(VI) chain	256076	Q6ZW26; B5MEA7; A9J6L2; A9J6L4; Q8NA36; A9J6L6; A9J6L7; A9J6M2; A9J6M1; A9J6M0; KEGG::256076
641454	Q96AP4	ZUFSP	Zinc finger with UFM1-specific peptidase domain protein	221302	Q96NV6; Q5TD92; Q6PJH7; KEGG::221302
241485	Q6UWV6	ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	339221	Q8IUS8; Q6ZTS5; KEGG::339221
593559	Q6UXI7	VIT	Vitrin	5212	A8K7Y4; Q6P7T3; Q96DM8; A1A526; Q96DT1; A6NKI9; E9PF47; Q9UDN0; KEGG::5212
190695	Q9BUW7	C9orf16	UPF0184 protein C9orf16	79095	Q5SYV8; Q9Y3F7; KEGG::79095
597262	O00744	WNT10B	Protein Wnt-10b	7480	B2R7A5; Q8WZ97; Q4VAJ5; O00747; KEGG::7480
566258	Q6UW68	TMEM205	Transmembrane protein 205	374882	KEGG::374882
558307	A6NHL2	TUBAL3	Tubulin alpha chain-like 3	79861	Q9H6Z0; Q4QQJ5; B4DKL2; KEGG::79861
392673	P22059	OSBP	Oxysterol-binding protein 1	5007	Q6P524; KEGG::5007
190699	Q9P2X8	LINC00474	Putative uncharacterized protein encoded by LINC00474	-	Q08EI2
392677	Q8IYS5	OSCAR	Osteoclast-associated immunoglobulin-like receptor	126014	Q8IYS5,A8; Q8WXQ1; B7WNS2; Q8WXQ0; Q5GRG5; Q8WXQ2; Q8NHL4; Q8N763; KEGG::126014
392676	Q969R2	OSBP2	Oxysterol-binding protein 2	23762	Q9BZF0; B0QYG1; O60396; Q9BY96; KEGG::23762
536337	Q7Z699	SPRED1	Sprouty-related, EVH1 domain-containing protein 1	161742	Q8N256; B2RPJ8; Q05D53; KEGG::161742
108266	Q9UPY6	WASF3	Wiskott-Aldrich syndrome protein family member 3	10810	Q5T8P4; Q5T8P4,Q9; Q86VQ2; O94974; KEGG::10810
149377	Q96PC3	AP1S3	AP-1 complex subunit sigma-3	130340	B4DQZ1; Q8WTY1; Q96DD1; KEGG::130340
176091	P55201	BRPF1	Peregrin	7862	Q9UHI0; B4DEZ6; Q8TCM6; Q7Z6E0; KEGG::7862
596549	Q86VZ2	WDR5B	WD repeat-containing protein 5B	54554	Q9NUL4; B2RCM9; KEGG::54554
244094	P49640	EVX1	Homeobox even-skipped homolog protein 1	2128	A4D199; KEGG::2128
584163	Q8IZJ1	UNC5B	Netrin receptor UNC5B	219699	Q8IZJ1,Q5; Q5T3S0; Q8N1Y2; Q5T3R9; Q9H9F3; Q86SN3; KEGG::219699
255848	P49354	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	2339	A6NJW0; Q9UDC1; Q53XJ9; P49354,A8; KEGG::2339
249485	Q14517	FAT1	Protocadherin Fat 1; Protocadherin Fat 1, nuclear form	2195	KEGG::2195
249480	P49327	FASN	Fatty acid synthase; [Acyl-carrier-protein] S-acetyltransferase; [Acyl-carrier-protein] S-malonyltransferase; 3-oxoacyl-[acyl-carrier-protein] synthase; 3-oxoacyl-[acyl-carrier-protein] reductase; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase; Enoyl-[acyl-carrier-protein] reductase; Oleoyl-[acyl-carrier-protein] hydrolase	2194	Q4LE83; Q969R1; Q96C68; Q16702; Q96IT0; Q6P4U5; Q6SS02; Q13479; KEGG::2194
243624	O00748	CES2	Cocaine esterase	8824	Q8TCP8; Q8IUP4; Q16859; Q5MAB8; Q7Z366; KEGG::8824
224052	Q14565	DMC1	Meiotic recombination protein DMC1/LIM15 homolog	11144	A8K9A2; Q99498; Q08AI1; Q9UH11; KEGG::11144
444746	Q9H1J1	UPF3A	Regulator of nonsense transcripts 3A	65110	Q5T8C3; Q7Z6N3; Q5T8C9; Q86YK1; Q9BZI8; A2A366; KEGG::65110
583065	Q5JXB2	UBE2NL	Putative ubiquitin-conjugating enzyme E2 N-like	389898	E9KL27; KEGG::389898
573746	Q9UL62	TRPC5	Short transient receptor potential channel 5	7224	Q9Y514; O75233; B2RP53; Q5JXY8; KEGG::7224
573740	Q13507	TRPC3	Short transient receptor potential channel 3	7222	E9PCJ9; Q5G1L5; Q15660; Q52M35; A7VJS1; Q13507,Q5; O00593; KEGG::7222
93874	Q9UPV9	TRAK1	Trafficking kinesin-binding protein 1	22906	B7Z218; Q63HR0; Q659B5; Q9UPV9,Q6; J3KNT7; B7ZAE5; Q96B69; E9PDS2; KEGG::22906
221378	Q6ICB0	DESI1	Desumoylating isopeptidase 1	27351	KEGG::27351
573749	Q9Y210	TRPC6	Short transient receptor potential channel 6	7225	Q9NQA8; Q52M59; Q9NQA9; Q9HCW3; KEGG::7225
93875	Q12980	C16orf35; NPRL3	Nitrogen permease regulator 3-like protein	8131	Q4TT56; Q1W6H0; B7Z220; Q92469; B7Z6Q0; Q9BTE2; D3DU40; KEGG::8131
93876	P54750	PDE1A	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A	5136	Q9C0L2; Q9C0K8; Q9C0K9; Q9Y633; B7Z226; D3DPG5; Q9UFX3; Q9C0L4; B7Z7A2; Q9C0L1; Q9C0L0; Q9C0L3; Q86VZ0; KEGG::5136
53430	Q9UPM9	B9D1	B9 domain-containing protein 1	27077	B4DN64; Q9BU22; E7ENC0; I3L2R1; KEGG::27077
219802	P35659	DEK	Protein DEK	7913	B4DN37; Q5TGV5; Q5TGV4; B2R6K6; P35659,B4; KEGG::7913
66932	Q8WZ79	DNASE2B	Deoxyribonuclease-2-beta	58511	Q66K39; Q8WZ80; Q9NQW3; Q5VXD0; Q5VXD1; KEGG::58511
66937	Q13609	DNASE1L3	Deoxyribonuclease gamma	1776	B2R8B1; O75803; B7Z707; KEGG::1776
92885	O43548	TGM5	Protein-glutamine gamma-glutamyltransferase 5	9333	Q9UEZ4; Q0VF40; B4DPS8; O43549; KEGG::9333
254930	P0C7T7	FRMD6-AS1	Putative uncharacterized protein FRMD6-AS1	-	-
540281	O43815	STRN	Striatin	6801	Q53TQ8; Q3KP65; Q9NP38; KEGG::6801
245660	P00488	F13A1	Coagulation factor XIII A chain	2162	Q8N6X2; Q96P24; Q9BX29; Q59HA7; KEGG::2162
639154	Q96KM6	ZNF512B	Zinc finger protein 512B	57473	Q08AK9; Q9ULM4; KEGG::57473
639155	Q6AHZ1	ZNF518A	Zinc finger protein 518A	9849	Q32MP4; A0PJI5; O15044; KEGG::9849
195900	Q8N137	CNTROB	Centrobin	116840	Q69YV7; Q8NCB8; Q331K3; Q96CQ7; A6NHQ1; Q8WXV3; Q9C060; KEGG::116840
639652	O75152	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	9877	Q6AHY9; Q6AHY4; Q6AWA1; Q86XZ7; Q6PJK4; Q6AW79; KEGG::9877
522683	Q9NVC3	SLC38A7	Putative sodium-coupled neutral amino acid transporter 7	55238	Q9H9I5; Q53GJ9; KEGG::55238
560863	H3BV60	TGFBR3L	Transforming growth factor-beta receptor type 3-like protein	100507588	KEGG::100507588
413631	E7EU14	PPP5D1	Protein PPP5D1	-	B3KSW5
413630	Q9P1A2	PPP4R1L	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	-	Q9BZ17; B4DRM4; Q9BZ18
413639	Q9UPN7	PPP6R1	Serine/threonine-protein phosphatase 6 regulatory subunit 1	22870	Q9BU97; Q504V2; Q2M2H3; Q6NVJ6; KEGG::22870
272998	Q6ZS86	GK5	Putative glycerol kinase 5	256356	D3DNG2; B2R9I2; Q8N2A7; Q8N5E6; KEGG::256356
374928	Q8TDF5	NETO1	Neuropilin and tolloid-like protein 1	81832	Q86W85; Q8ND78; Q8TDF4; KEGG::81832
88889	Q07866	KLC1; KNS2	Kinesin light chain 1	3831	Q7RTM2; Q7RTQ5; Q86V77; Q7RTQ3; Q7RTQ2; Q7RTM5; Q7RTQ6; F8VTM4; Q86TF5; A6NF62; Q7RTP9; Q86V78; Q86V79; Q86V74; Q86V75; Q86V76; Q86SF5; Q96H62; Q7RTM3; Q07866,Q7; KEGG::3831
206769	Q7Z7A3	CTU1	Cytoplasmic tRNA 2-thiolation protein 1	90353	A8K558; Q96GZ7; KEGG::90353
2739925	Q9UPC7	MPV17	-	-	-
359147	Q9Y3D2	MSRB2	Methionine-R-sulfoxide reductase B2, mitochondrial	22921	Q4G1C7; Q9Y5W6; Q17R44; KEGG::22921
149924	O96018	APBA3	Amyloid beta A4 precursor protein-binding family A member 3	9546	O60483; Q9UPZ2; KEGG::9546
262300	P01350	GAST	Gastrin; Gastrin-71; Gastrin-52; Big gastrin; Gastrin; Gastrin-14; Gastrin-6	2520	P78463; P78464; KEGG::2520
335253	O60711	LPXN	Leupaxin	9404	Q6FI07; O60711,B4; B2R8B4; B4DV71; Q53FW6; KEGG::9404
94281	Q8N8I0	SAMD12	Sterile alpha motif domain-containing protein 12	401474	Q0P502; B8ZZB7; KEGG::401474
97534	P07438	MT1B; MTP	Metallothionein-1B	4490	Q86YX0; KEGG::4490
368711	Q02083	NAAA	N-acylethanolamine-hydrolyzing acid amidase; N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta	27163	Q5KTF2; Q96EY2; Q9BRA8; KEGG::27163
371465	Q8NEY1	NAV1	Neuron navigator 1	89796	Q9ULR9; Q9H7V9; Q9UGI1; Q8IVL2; Q5VUY9; Q5SVH3; Q5SVH2; Q5SVH1; Q5SVH7; Q9ULK7; Q96II1; A8MS88; Q9H9T5; Q9H9S9; KEGG::89796
90629	Q15678	PTPN14	Tyrosine-protein phosphatase non-receptor type 14	5784	A8K6H6; Q5VSI0; Q6PJC3,Q1; KEGG::5784
63559	Q13618	CUL3	Cullin-3	8452	O75415; Q569L3; B8ZZC3; B7Z600; A8K536; Q9UET7; Q9UBI8; KEGG::8452
268650	P0DJR0	GIMD1	GTPase IMAP family member GIMD1	100507096	KEGG::100507096
388987	Q8NH56	OR52N5	Olfactory receptor 52N5	390075	Q6IFG2; B9EH12; KEGG::390075
2717927	O00365	-	-	-	-
278089	P36969	GPX4	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	2879	Q9UPK2; O43381; Q6PJ59; KEGG::2879
639962	Q9Y6Q3	ZFP37	Zinc finger protein 37 homolog	7539	Q5T7Q4; B4DVX4; A0AVJ9; KEGG::7539
566857	Q8NDY8	TMEM52	Transmembrane protein 52	339456	Q4VXS6; Q6UX25; KEGG::339456
566850	Q9BQJ4	TMEM47	Transmembrane protein 47	83604	Q5JR44; KEGG::83604
2732621	Q7Z4H1	HBEBP1	-	-	-
250562	Q96RD9	FCRL5	Fc receptor-like protein 5	83416	A0N0M2; Q5VYK9; B7WNT9; Q495Q2; Q6UY46; Q495Q4; B7WP94; KEGG::83416
350777	Q9NP71	MLXIPL	Carbohydrate-responsive element-binding protein	51085	Q96E48; C5HU04; C5HU03; C5HU02; Q9BY03; Q9BY06; Q9BY05; Q9BY04; Q9Y2P3; KEGG::51085
92883	Q9H000	MKRN2	Probable E3 ubiquitin-protein ligase makorin-2	23609	B3KRC5; Q9NRY1; Q96BD4; B4DPR4; A6NIA2; Q9BUY2; Q8N391; KEGG::23609
105882	O60664	PLIN3	Perilipin-3	10226	Q53G77; Q9UP92; K7EQF4; Q9UBD7; A8K4Y9; Q9BS03; KEGG::10226
250564	Q6DN72	FCRL6	Fc receptor-like protein 6	343413	Q6XRC3; A2A4D6; Q6ZNI1; Q6DN73; A1KXW6; KEGG::343413
567044	Q9H1E5	TMX4	Thioredoxin-related transmembrane protein 4	56255	Q8N4P7; Q9ULQ8; Q9UJA1; Q8NCC1; KEGG::56255
90991	P19484	TFEB	Transcription factor EB	7942	Q9BRJ5; B0QYS6; Q9UJD8; Q709B3; Q7Z6P9; KEGG::7942
567045	Q9Y275	TNFSF13B	Tumor necrosis factor ligand superfamily member 13B; Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form	10673	Q7Z5J2; Q7Z5J2,Q9; Q6FHD6; KEGG::10673
633659	Q7Z469	-	Putative mitochondrial carrier protein LOC494141	-	Q4G0P1; Q4G197
344005	O75586	MED6	Mediator of RNA polymerase II transcription subunit 6	10001	O15401; Q6FHQ4; Q53FE3; Q9BTH1; Q9UHL1; Q53HJ3; KEGG::10001
108622	P63220; Q6FGH5	RPS21	40S ribosomal protein S21	6227	Q6FGH5,P6; P35265; KEGG::6227
567306	P19438	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A; Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1	7132	Q9UCA4; B3KPQ1; D3DUR1; B4DQB7; B4E309; A8K4X3; B2RDE4; KEGG::7132
536225	Q9HCB6	SPON1	Spondin-1	10418	O94862; A8K6W5; Q8WUR5; Q9HCB6,A8; Q8NCD7; KEGG::10418
567040	Q96JJ7	TMX3	Protein disulfide-isomerase TMX3	54495	B3KV75; Q52LT7; Q9NWJ9; Q8N5J0; KEGG::54495
580763	Q9GZZ9	UBA5	Ubiquitin-like modifier-activating enzyme 5	79876	A6NJL3; Q96ST1; D3DNC8; KEGG::79876
2735901	Q92827	MYO1F	-	-	-
2735909	Q92927	rab1b	-	-	-
145058	Q9Y2D5	AKAP2	A-kinase anchor protein 2	11217; 445815	B4DTZ2; B7ZW07; Q9UG26; B3KQ00; Q9Y2D5,B4; B1ALX9; B9EJB5; B2RTU4; KEGG::11217; KEGG::445815
51161	P0C7U1; Q9NR71	ASAH2; ASAH2B	Neutral ceramidase; Neutral ceramidase soluble form; Putative inactive neutral ceramidase B	56624; 653308	Q5SZP7; Q5SZP6; Q5SNT7; Q71ME6; Q5T1D5; Q3KNU1; KEGG::653308; KEGG::56624
51164	Q13510	ASAH1	Acid ceramidase; Acid ceramidase subunit alpha; Acid ceramidase subunit beta	427	A8K0B6,Q1; Q53H01; Q6W898; A8K0B6; E9PDS0; Q96AS2; KEGG::427
128401	Q8N2E6; Q5JU69	TOR2A	Prosalusin; Salusin-alpha; Salusin-beta; Torsin-2A	27433	Q3ZCN9; Q8NAN5; Q6UXW6; Q3ZCP0; Q96SL7; Q66K87; A4FU13; A4FU12; Q5JU68; KEGG::27433
448402	Q9BQY4	RHOXF2	Rhox homeobox family member 2	84528	Q9BR00; KEGG::84528
448401	Q8NHV9	RHOXF1	Rhox homeobox family member 1	158800	O95030; Q3SYE0; KEGG::158800
448407	A6NNX1	RIIAD1	RIIa domain-containing protein 1	284485	KEGG::284485
536220	Q6ZMY3	SPOCD1	SPOC domain-containing protein 1	90853	Q8N869; Q96LN6; Q8N8U0; Q6PI90; Q8NBC6; Q24JU3; KEGG::90853
598774	Q9C0E2	XPO4	Exportin-4	64328	Q5VUZ5; Q8N3V6; Q9H934; KEGG::64328
598778	Q9HAV4	XPO5	Exportin-5	57510	Q5JTE6; Q96G48; Q9H9M4; Q9BZV5; Q9NW39; Q96HN3; Q9NT89; Q9BWM6; Q9ULC9; KEGG::57510
185615	Q9BWU1	CDK19	Cyclin-dependent kinase 19	23097	Q5JQZ7; Q5JR00; Q9UPX2; Q8TC78; KEGG::23097
2723907	Q53HB9	-	-	-	-
2723908	Q53HC2	-	-	-	-
411972	Q8NA72	POC5	Centrosomal protein POC5	134359	B4DJG7; Q494X7; Q6P085; Q494X9; KEGG::134359
331810	Q9H9Z2	LIN28A	Protein lin-28 homolog A	79727	KEGG::79727
72660	O14682	ENC1	Ectoderm-neural cortex protein 1	8507	Q9UPG9; O75464; B4DHJ1; Q53XS2; O14682,Q5; E9PFU0; KEGG::8507
91727	Q9UET6	FTSJ1	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	24140	O75670; B3KN91; B2RCJ0; Q9UET6,B3; KEGG::24140
640961	P17021	ZNF17	Zinc finger protein 17	7565	B3KY20; Q8N893; Q8TF54; Q8N7M1; B3KXU2; KEGG::7565
418691	Q96S44	TP53RK	TP53-regulating kinase	112858	Q6NZ60; Q9NQE6; Q5JZ01; Q96FM7; Q3T977; B3KU44; KEGG::112858
338988	Q5TCQ9	MAGI3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3	260425	Q9H2V6; Q9H5Y8; Q9HCD8; Q5TCR0; Q5TCQ8; Q9HBC4; KEGG::260425
267319	O75343	GUCY1B2	Guanylate cyclase soluble subunit beta-2	-	Q9NZ64
331813	Q6ZN17	LIN28B	Protein lin-28 homolog B	389421	B2RPN6; Q5TCM4; A1L165; KEGG::389421
182341	P15086	CPB1	Carboxypeptidase B	1360	Q96BQ8; O60834; Q53XJ0; KEGG::1360
148564	Q8N957	ANKFN1	Ankyrin repeat and fibronectin type-III domain-containing protein 1	162282	KEGG::162282
148565	Q8IWZ3	ANKHD1	Ankyrin repeat and KH domain-containing protein 1	54882; 404734	Q149P2; Q9NWG4; Q7Z586,Q8; A6NH85; Q8WY90; Q96G77; Q8IWZ2; Q9UPR7; Q9HA95; Q96GK0; Q9H2U0; KEGG::54882; KEGG::404734
489310	Q9H9Y6	POLR1B	DNA-directed RNA polymerase I subunit RPA2	84172	Q9H9D3; Q6ZRR2; Q585T5; KEGG::84172
530041	Q8IWX5	SGPP2	Sphingosine-1-phosphate phosphatase 2	130367	A3KPB4; Q8N8Q6; KEGG::130367
2726620	Q5SQT8	SAR1A	-	-	-
522016	Q9Y2V3	RAX	Retinal homeobox protein Rx	30062	KEGG::30062
238154	Q13144	EIF2B5	Translation initiation factor eIF-2B subunit epsilon	8893	Q96D04; Q541Z1; KEGG::8893
229015	A6NFQ7	DPRX	Divergent paired-related homeobox	503834	KEGG::503834
229019	Q5T2R2	PDSS1	Decaprenyl-diphosphate synthase subunit 1	23590	Q6P473; Q53F75; Q9Y2W5; Q86WQ8; KEGG::23590
391952	Q13607	OR2F1	Olfactory receptor 2F1	26211	Q96R49; Q9UDX1; A4D2G1; Q6IFP7; KEGG::26211
147025	Q8N7J2	AMER2	APC membrane recruitment protein 2	219287	Q5RL80; Q5VX56; Q8N593; Q96NN5; KEGG::219287
147021	Q5JTC6	AMER1	APC membrane recruitment protein 1	139285	A2IB86; Q8N885; KEGG::139285
147029	Q8N944	AMER3	APC membrane recruitment protein 3	205147	B7ZLH6; KEGG::205147
206632	Q6PD62	CTR9	RNA polymerase-associated protein CTR9 homolog	9646	Q15015; D3DQV8; KEGG::9646
402428	P12955	PEPD	Xaa-Pro dipeptidase	5184	A8MX47; A8K696; Q9BT75; P12955,B4; A8K416; B4DDB7; A8K3Z1; Q8TBN9; E9PCE8; B4DGJ1; KEGG::5184
640607	Q8NCK3	ZNF485	Zinc finger protein 485	220992	Q96CL0; KEGG::220992
640605	Q96JC4	ZNF479	Zinc finger protein 479	90827	KEGG::90827
640602	Q6S9Z5	ZNF474	Zinc finger protein 474	133923	Q96M07; A8K4M0; KEGG::133923
136432	P29275	ADORA2B	Adenosine receptor A2b	136	KEGG::136
590100	P37288	AVPR1A	Vasopressin V1a receptor	552	KEGG::552
640608	B1APH4	ZNF487P	Putative zinc finger protein 487	-	B1APH5
640609	Q96MN9	ZNF488	Zinc finger protein 488	118738	KEGG::118738
272664	O95838	GLP2R	Glucagon-like peptide 2 receptor	9340	Q4VAT3; KEGG::9340
317318	P57789	KCNK10	Potassium channel subfamily K member 10	54207	Q9HB59; Q8TDK8; Q6B014; B5TJL4; B2R8T4; B2RCT3; Q8TDK7; KEGG::54207
360559	A4FU01	MTMR11	Myotubularin-related protein 11	10903	Q5SZ62; B4DJI6; B3KUE4; B4DQF5; Q99753; Q99752; Q6P2Q8; Q3ZCP7; B4E3Q6; KEGG::10903
360557	Q9NXD2	MTMR10	Myotubularin-related protein 10	54893	Q6P4Q6; KEGG::54893
360554	Q96QG7	MTMR9	Myotubularin-related protein 9	66036	Q9NX50; Q96QG6; Q8WW11; Q52LU3; KEGG::66036
360552	Q96EF0	MTMR8	Myotubularin-related protein 8	55613	Q5JT99; Q9NXP6; KEGG::55613
171642	Q16520	BATF	Basic leucine zipper transcriptional factor ATF-like	10538	KEGG::10538
378390	Q86U38	NOP9	Nucleolar protein 9	161424	Q8IVF0; Q8TBS6; KEGG::161424
88319	Q6UVM3	KCNT2	Potassium channel subfamily T member 2	343450	Q3SY59; Q5VTN1; Q6ZS12; A9LNM6; Q6ZMT3; KEGG::343450
88317	Q5JUK3	KCNT1	Potassium channel subfamily T member 1	57582	B9EGP2; B7ZVY4; G5E9V0; B3KXF7; Q9P2C5; KEGG::57582
88310	Q9NR82	KCNQ5	Potassium voltage-gated channel subfamily KQT member 5	56479	F5GZV0; B4DS33; A6NKT6; Q17RE1; Q9NR82,A6; Q5VVP3; Q86W40; B7ZL37; Q9NRN0; B5MC83; Q9NYA6; A6PVT6; KEGG::56479
88313	Q96KK3	KCNS1	Potassium voltage-gated channel subfamily S member 1	3787	B7ZM31; Q6DJU6; A2RUL8; A2RUL9; O43652; KEGG::3787
249119	Q9BX63	BRIP1	Fanconi anemia group J protein	83990	Q3MJE2; Q8NCI5; KEGG::83990
159315	Q8WXK3	ASB13	Ankyrin repeat and SOCS box protein 13	79754	Q9H8Z1; Q96EP7; A8K7Q6; D3DRR2; KEGG::79754
159314	Q8WXK4	ASB12	Ankyrin repeat and SOCS box protein 12	142689	Q8N8F5,Q8; J3KP57; Q6ISF9; Q8N8F5; Q2M3D5; Q52LK4; KEGG::142689
159319	Q8WXK1	ASB15	Ankyrin repeat and SOCS box protein 15	142685	Q3ZCP3; Q68D37; Q3ZCP5; KEGG::142685
249112	Q8NB91	FANCB	Fanconi anemia group B protein	2187	Q7Z2U2; Q86XG1; B2RMZ4; KEGG::2187
249116	Q9HB96	FANCE	Fanconi anemia group E protein	2178	Q4ZGH2; A8K907; KEGG::2178
489708	O95398	RAPGEF3	Rap guanine nucleotide exchange factor 3	-	Q8WVN0; O95634
310224	P14316	IRF2	Interferon regulatory factor 2	3660	P14316,Q6; Q6IAS7; H0Y8S3; D6RCK5; Q96B99; KEGG::3660
358273	P43246	MSH2	DNA mismatch repair protein Msh2	4436	O75488; B4E2Z2; KEGG::4436
310229	Q15306	IRF4	Interferon regulatory factor 4	3662	Q99660; Q5VUI7; KEGG::3662
558974	Q8IUC6	TICAM1	TIR domain-containing adapter molecule 1	148022	B3Y691; O75532; Q96GA0; Q86XP8; KEGG::148022
392193	Q9BRQ5	ORAI3	Protein orai-3	93129	Q96BI8; KEGG::93129
392190	Q8NGE9	OR9Q2	Olfactory receptor 9Q2	219957	KEGG::219957
392196	Q8WV07	ORAOV1	Oral cancer-overexpressed protein 1	220064	Q8NFK0; B2R4R2; KEGG::220064
